[2025-03-17 18:02:51,395] 18 root - INFO - Initiate the data ingestion
[2025-03-17 18:02:59,403] 74 root - INFO - Performed train test split on the dataframe
[2025-03-17 18:02:59,403] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-17 18:02:59,403] 84 root - INFO - Exporting train and test file path.
[2025-03-17 18:02:59,750] 93 root - INFO - Exported train and test file path.
[2025-03-17 18:02:59,766] 20 root - INFO - Data Initiation Completed
[2025-03-17 18:02:59,766] 24 root - INFO - Initiate the data Validation
[2025-03-17 18:02:59,998] 25 root - INFO - Required number of columns: 2
[2025-03-17 18:02:59,998] 26 root - INFO - DataFrame has 31 columns
[2025-03-17 18:02:59,998] 25 root - INFO - Required number of columns: 2
[2025-03-17 18:02:59,998] 26 root - INFO - DataFrame has 31 columns
[2025-03-17 18:03:00,736] 28 root - INFO - data Validation Completed
[2025-03-17 18:03:00,736] 32 root - INFO - data Transformation started
[2025-03-17 18:03:00,736] 50 root - INFO - Enter data transformation
[2025-03-17 18:03:00,736] 52 root - INFO - Starting transformation
[2025-03-17 18:03:00,883] 36 root - INFO - Enter Transformation part
[2025-03-17 18:03:00,883] 40 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
