[2025-03-18 11:43:43,429] 18 root - INFO - Initiate the data ingestion
[2025-03-18 11:43:52,383] 74 root - INFO - Performed train test split on the dataframe
[2025-03-18 11:43:52,383] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-18 11:43:52,383] 84 root - INFO - Exporting train and test file path.
[2025-03-18 11:43:52,699] 93 root - INFO - Exported train and test file path.
[2025-03-18 11:43:52,699] 20 root - INFO - Data Initiation Completed
[2025-03-18 11:43:52,714] 24 root - INFO - Initiate the data Validation
[2025-03-18 11:43:52,906] 25 root - INFO - Required number of columns: 2
[2025-03-18 11:43:52,906] 26 root - INFO - DataFrame has 31 columns
[2025-03-18 11:43:52,906] 25 root - INFO - Required number of columns: 2
[2025-03-18 11:43:52,906] 26 root - INFO - DataFrame has 31 columns
[2025-03-18 11:43:53,450] 28 root - INFO - data Validation Completed
[2025-03-18 11:43:53,450] 32 root - INFO - data Transformation started
[2025-03-18 11:43:53,452] 49 root - INFO - Enter data transformation
[2025-03-18 11:43:53,452] 51 root - INFO - Starting transformation
[2025-03-18 11:43:53,602] 36 root - INFO - Enter Transformation part
[2025-03-18 11:43:53,602] 40 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-18 11:43:53,641] 41 root - INFO - Saving object of mainUtil class
[2025-03-18 11:43:53,641] 45 root - INFO - End the saving
[2025-03-18 11:43:53,641] 41 root - INFO - Saving object of mainUtil class
[2025-03-18 11:43:53,657] 45 root - INFO - End the saving
[2025-03-18 11:43:53,662] 36 root - INFO - data Transformation completed
[2025-03-18 11:43:53,662] 38 root - INFO - Model Training sstared
