[2025-03-18 12:20:16,187] 18 root - INFO - Initiate the data ingestion
[2025-03-18 12:20:35,106] 74 root - INFO - Performed train test split on the dataframe
[2025-03-18 12:20:35,106] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-18 12:20:35,107] 84 root - INFO - Exporting train and test file path.
[2025-03-18 12:20:35,654] 93 root - INFO - Exported train and test file path.
[2025-03-18 12:20:35,659] 20 root - INFO - Data Initiation Completed
[2025-03-18 12:20:35,669] 24 root - INFO - Initiate the data Validation
[2025-03-18 12:20:35,898] 25 root - INFO - Required number of columns: 2
[2025-03-18 12:20:35,898] 26 root - INFO - DataFrame has 31 columns
[2025-03-18 12:20:35,898] 25 root - INFO - Required number of columns: 2
[2025-03-18 12:20:35,898] 26 root - INFO - DataFrame has 31 columns
[2025-03-18 12:20:36,978] 28 root - INFO - data Validation Completed
[2025-03-18 12:20:36,979] 32 root - INFO - data Transformation started
[2025-03-18 12:20:36,979] 49 root - INFO - Enter data transformation
[2025-03-18 12:20:36,979] 51 root - INFO - Starting transformation
[2025-03-18 12:20:37,224] 36 root - INFO - Enter Transformation part
[2025-03-18 12:20:37,224] 40 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-18 12:20:37,278] 41 root - INFO - Saving object of mainUtil class
[2025-03-18 12:20:37,288] 45 root - INFO - End the saving
[2025-03-18 12:20:37,288] 41 root - INFO - Saving object of mainUtil class
[2025-03-18 12:20:37,298] 45 root - INFO - End the saving
[2025-03-18 12:20:37,311] 36 root - INFO - data Transformation completed
[2025-03-18 12:20:37,311] 38 root - INFO - Model Training sstared
