[2025-03-17 22:43:10,339] 18 root - INFO - Initiate the data ingestion
[2025-03-17 22:43:17,596] 74 root - INFO - Performed train test split on the dataframe
[2025-03-17 22:43:17,596] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-17 22:43:17,596] 84 root - INFO - Exporting train and test file path.
[2025-03-17 22:43:17,945] 93 root - INFO - Exported train and test file path.
[2025-03-17 22:43:17,961] 20 root - INFO - Data Initiation Completed
[2025-03-17 22:43:17,965] 24 root - INFO - Initiate the data Validation
[2025-03-17 22:43:18,169] 25 root - INFO - Required number of columns: 2
[2025-03-17 22:43:18,169] 26 root - INFO - DataFrame has 31 columns
[2025-03-17 22:43:18,169] 25 root - INFO - Required number of columns: 2
[2025-03-17 22:43:18,169] 26 root - INFO - DataFrame has 31 columns
[2025-03-17 22:43:18,743] 28 root - INFO - data Validation Completed
[2025-03-17 22:43:18,746] 32 root - INFO - data Transformation started
[2025-03-17 22:43:18,746] 49 root - INFO - Enter data transformation
[2025-03-17 22:43:18,746] 51 root - INFO - Starting transformation
[2025-03-17 22:43:18,842] 36 root - INFO - Enter Transformation part
[2025-03-17 22:43:18,842] 40 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-17 22:43:18,858] 41 root - INFO - Saving object of mainUtil class
[2025-03-17 22:43:18,874] 45 root - INFO - End the saving
[2025-03-17 22:43:18,874] 36 root - INFO - data Transformation completed
[2025-03-17 22:43:18,874] 38 root - INFO - Model Training sstared
