[2025-03-18 11:42:14,331] 18 root - INFO - Initiate the data ingestion
[2025-03-18 11:42:24,998] 74 root - INFO - Performed train test split on the dataframe
[2025-03-18 11:42:24,998] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-18 11:42:24,999] 84 root - INFO - Exporting train and test file path.
[2025-03-18 11:42:25,360] 93 root - INFO - Exported train and test file path.
[2025-03-18 11:42:25,363] 20 root - INFO - Data Initiation Completed
[2025-03-18 11:42:25,389] 24 root - INFO - Initiate the data Validation
[2025-03-18 11:42:25,585] 25 root - INFO - Required number of columns: 2
[2025-03-18 11:42:25,587] 26 root - INFO - DataFrame has 31 columns
[2025-03-18 11:42:25,587] 25 root - INFO - Required number of columns: 2
[2025-03-18 11:42:25,587] 26 root - INFO - DataFrame has 31 columns
[2025-03-18 11:42:26,401] 28 root - INFO - data Validation Completed
[2025-03-18 11:42:26,403] 32 root - INFO - data Transformation started
[2025-03-18 11:42:26,403] 49 root - INFO - Enter data transformation
[2025-03-18 11:42:26,403] 51 root - INFO - Starting transformation
[2025-03-18 11:42:26,544] 36 root - INFO - Enter Transformation part
[2025-03-18 11:42:26,544] 40 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-18 11:42:26,576] 41 root - INFO - Saving object of mainUtil class
[2025-03-18 11:42:26,582] 45 root - INFO - End the saving
[2025-03-18 11:42:26,582] 41 root - INFO - Saving object of mainUtil class
[2025-03-18 11:42:26,588] 45 root - INFO - End the saving
[2025-03-18 11:42:26,595] 36 root - INFO - data Transformation completed
[2025-03-18 11:42:26,595] 38 root - INFO - Model Training sstared
